A3,A4,A5,B3,B4,B5,C3,C4,C5,D3,D4,D5,E3,E4,E5,F3,F4,F5
0.669593871,0.533461511,0.512058854,0.231428549,0.198574007,0.052109789,-0.089308687,-0.053809784,-0.090765461,0.669593871,0.533461511,0.512058854,0.126532182,0.077798963,0.011260491,0.126532182,0.077798963,0.011260491
1253.864625,1465.67291,1621.409521,619.6170782,526.1143042,424.2742403,46.38531324,142.0367076,135.4386908,1253.864625,1465.67291,1621.409521,320.4171462,360.8380434,277.978326,320.4171462,360.8380434,277.978326
0.572750497,0.617693036,0.614520732,1.87562784,1.895821196,1.875402331,2.836887561,3.553342261,5.625038744,0.572750497,0.617693036,0.614520732,1.03139583,1.54017005,1.663335332,1.03139583,1.54017005,1.663335332
0.50825423,0.509003043,0.511444569,0.252219886,0.076672293,0.010518133,-0.012488938,-0.255376726,-0.215594396,0.50825423,0.509003043,0.511444569,0.072482273,0.091084644,0.020422548,0.072482273,0.091084644,0.020422548
1089.929416,1245.567487,1541.859363,603.5609436,425.5675331,363.0581452,34.65789399,24.42427618,60.68597184,1089.929416,1245.567487,1541.859363,267.3133114,401.7273534,308.3579275,267.3133114,401.7273534,308.3579275
0.631428899,0.609062993,0.611406801,1.887100433,1.579902079,1.84367953,4.250611017,4.07635336,8.374628188,0.631428899,0.609062993,0.611406801,1.23503935,1.392574008,1.34524606,1.23503935,1.392574008,1.34524606
0.50825423,0.509003043,0.511444569,0.252219886,0.076672293,0.010518133,0.181924701,0.181924701,0.181924701,0.50825423,0.509003043,0.511444569,0.072482273,0.091084644,0.020422548,0.072482273,0.091084644,0.020422548
1089.929416,1245.567487,1541.859363,603.5609436,425.5675331,363.0581452,124.8368303,124.8368303,124.8368303,1089.929416,1245.567487,1541.859363,267.3133114,401.7273534,308.3579275,267.3133114,401.7273534,308.3579275
0.631428899,0.609062993,0.611406801,1.887100433,1.579902079,1.84367953,1.564114601,1.564114601,1.564114601,0.631428899,0.609062993,0.611406801,1.23503935,1.392574008,1.34524606,1.23503935,1.392574008,1.34524606
-0.439698368,-0.439698368,-0.439698368,0.193153694,0.193153694,0.193153694,-0.688546419,-0.688546419,-0.688546419,-0.437555134,-0.437555134,-0.437555134,-0.640178382,-0.640178382,-0.640178382,-0.640178382,-0.640178382,-0.640178382
6.069594637,6.069594637,6.069594637,10.04492541,10.04492541,10.04492541,3.294520551,3.294520551,3.294520551,6.130457636,6.130457636,6.130457636,3.376903507,3.376903507,3.376903507,3.376903507,3.376903507,3.376903507
2.354208256,2.354208256,2.354208256,1.04366427,1.04366427,1.04366427,5.477129108,5.477129108,5.477129108,2.363111772,2.363111772,2.363111772,1.4083275,1.4083275,1.4083275,1.4083275,1.4083275,1.4083275
